('e', 0.10540855820010128)
('a', 0.0903611734066411)
('o', 0.06749168053244592)
('s', 0.05968313680098387)
('i', 0.05620162048759314)
('r', 0.05379168776676554)
('l', 0.04581585039427042)
('c', 0.0386041380308182)
('u', 0.028779027707444116)
('m', 0.02190642407581567)
('de', 0.021390978803443535)
('p', 0.021363850104897636)
('en', 0.01710916588294871)
('la', 0.011986363307530926)
('el', 0.009802503074585835)
('b', 0.009458872893004414)
('g', 0.008654054836142662)
('al', 0.008219995659408232)
('v', 0.007437784851334732)
('ad', 0.007243362511755769)
('lo', 0.006660095493018881)
('y', 0.006465673153439919)
('in', 0.006320986761195109)
('que', 0.005751284091731173)
('si', 0.005177059972509585)
('con', 0.005104716776387181)
('h', 0.004982637632930623)
('no', 0.004883165738262317)
('un', 0.004530492657165593)
('mi', 0.0037121102510308908)
('res', 0.003458909064602474)
('á', 0.0032373580264776097)
('sa', 0.003115278883021052)
('j', 0.00293442089271504)
('por', 0.0027399985531360777)
('ni', 0.0027219127541054764)
('su', 0.0026947840555595747)
('del', 0.002667655357013673)
('ab', 0.0024732330174347104)
('il', 0.0024189756203429067)
('iv', 0.0021115170368226866)
('ex', 0.0020572596397308834)
('les', 0.0019125732474860738)
('dos', 0.0019035303479707734)
('one', 0.0018131013528177675)
('ir', 0.0018040584533024668)
('per', 0.0014559068219633944)
('para', 0.0012840917311726832)
('ante', 0.0011620125877161254)
('mente', 0.0010625406930478188)
('art', 0.0010580192432901685)
('ese', 0.0008907256022571078)
('ser', 0.0008862041524994574)
('mil', 0.0008274253056500036)
('tan', 0.0008048180568617522)
('tal', 0.0007596035592852493)
('ip', 0.0007460392100122983)
('pri', 0.0007369963104969978)
('ay', 0.0007279534109816972)
('mar', 0.0007189105114663966)
('ver', 0.0007053461621934457)
('ya', 0.0006917818129204948)
('como', 0.0006782174636475439)
('forma', 0.0006646531143745931)
('eso', 0.0006239600665557404)
('sin', 0.0006239600665557404)
('más', 0.000601352817767489)
('amo', 0.0005516168704333358)
('sus', 0.0005516168704333358)
('col', 0.0005199667221297837)
('sar', 0.0005109238226144831)
('año', 0.00047927367431093104)
('excelsior', 0.00047927367431093104)
('fin', 0.00047927367431093104)
('cen', 0.0004611878752803299)
('nacional', 0.00042049482746147726)
('este', 0.0003933661289155755)
('cien', 0.0003843232294002749)
('yo', 0.00037075888012732405)
('contra', 0.0003617159806120234)
('méx', 0.0003617159806120234)
('pues', 0.0003617159806120234)
('cano', 0.0003571945308543731)
('mas', 0.0003571945308543731)
('entre', 0.00035267308109672283)
('méxico', 0.00034815163133907254)
('antes', 0.00033910873182377196)
('abril', 0.00033458728206612167)
('ama', 0.0003300658323084714)
('reforma', 0.0003300658323084714)
('esto', 0.0003255443825508211)
('todo', 0.0003165014830355205)
('arte', 0.0003119800332778702)
('ing', 0.0003119800332778702)
('ende', 0.0003074585835202199)
('mexicano', 0.0003074585835202199)
('estado', 0.00029841568400491934)
('eu', 0.00029841568400491934)
('exp', 0.00029841568400491934)
('sobre', 0.00029389423424726904)
('dar', 0.00028937278448961875)
('real', 0.00028937278448961875)
('gobierno', 0.00028485133473196846)
('país', 0.00028485133473196846)
('rmi', 0.00028032988497431817)
('cual', 0.0002758084352166679)
('san', 0.0002712869854590176)
('sólo', 0.0002712869854590176)
('mes', 0.0002667655357013673)
('sí', 0.0002667655357013673)
('pero', 0.000262244085943717)
('eje', 0.0002532011864284164)
('uno', 0.0002532011864284164)
('tras', 0.00024867973667076613)
('gente', 0.00024415828691311584)
('nota', 0.00024415828691311584)
('siguiente', 0.00024415828691311584)
('miércoles', 0.00023963683715546552)
('mayo', 0.00023511538739781523)
('pt', 0.00023511538739781523)
('quien', 0.00023511538739781523)
('auto', 0.00023059393764016494)
('constitución', 0.00023059393764016494)
('social', 0.00023059393764016494)
('vida', 0.00023059393764016494)
('bajo', 0.00022607248788251465)
('debe', 0.00022607248788251465)
('mero', 0.00022155103812486436)
('parte', 0.00022155103812486436)
('pueblo', 0.00022155103812486436)
('nación', 0.00021702958836721407)
('baja', 0.00021250813860956377)
('empresa', 0.00021250813860956377)
('ley', 0.00021250813860956377)
('ciento', 0.00020798668885191348)
('nada', 0.00020798668885191348)
('porque', 0.00020798668885191348)
('don', 0.0002034652390942632)
('eran', 0.0002034652390942632)
('lado', 0.0002034652390942632)
('mayor', 0.0002034652390942632)
('red', 0.0002034652390942632)
('hasta', 0.0001989437893366129)
('pan', 0.0001989437893366129)
('plan', 0.0001989437893366129)
('ello', 0.0001944223395789626)
('otra', 0.0001944223395789626)
('política', 0.0001944223395789626)
('cada', 0.00018990088982131232)
('primer', 0.00018990088982131232)
('tema', 0.00018990088982131232)
('constitucional', 0.00018537944006366203)
('federal', 0.00018537944006366203)
('grupo', 0.00018537944006366203)
('isla', 0.00018537944006366203)
('nuestro', 0.00018537944006366203)
('poder', 0.00018537944006366203)
('acuerdo', 0.0001808579903060117)
('caso', 0.0001808579903060117)
('ola', 0.0001808579903060117)
('partido', 0.0001808579903060117)
('pasa', 0.0001808579903060117)
('poli', 0.0001808579903060117)
('banco', 0.00017633654054836142)
('cuando', 0.00017633654054836142)
('once', 0.00017633654054836142)
('autor', 0.00017181509079071112)
('desde', 0.00017181509079071112)
('día', 0.00017181509079071112)
('peso', 0.00017181509079071112)
('otro', 0.00016729364103306083)
('residente', 0.00016729364103306083)
('deuda', 0.00016277219127541054)
('persona', 0.00016277219127541054)
('presidente', 0.00016277219127541054)
('alva', 0.00015825074151776025)
('político', 0.00015825074151776025)
('principio', 0.00015825074151776025)
